cpu_percent,memory_percent,network_connections,process_count,shell_exec,sensitive_file_access,denied_egress,label,scenario
25.63,26.59,4,7,0,0,0,normal,baseline
78.0,32.53,2,22,1,0,0,anomaly,interactive-shell
78.0,32.22,3,22,1,0,0,anomaly,interactive-shell
96.0,92.0,4,32,0,0,0,anomaly,resource-abuse
14.12,29.95,1,5,0,0,0,normal,baseline
16.33,24.53,1,4,0,0,0,normal,baseline
96.0,92.0,5,32,0,0,0,anomaly,resource-abuse
19.65,34.86,4,6,0,0,0,normal,baseline
17.37,28.66,1,6,0,0,0,normal,baseline
21.4,23.76,4,5,0,0,0,normal,baseline
17.01,31.6,3,6,0,0,0,normal,baseline
21.47,28.06,5,5,0,0,0,normal,baseline
15.61,27.64,5,4,0,0,0,normal,baseline
20.91,25.84,3,7,0,0,0,normal,baseline
17.56,32.46,4,4,0,0,0,normal,baseline
20.36,30.52,2,5,0,0,0,normal,baseline
22.13,33.17,4,4,0,0,0,normal,baseline
17.44,38.92,120,5,0,0,10,anomaly,network-scan
21.53,29.58,120,7,0,0,10,anomaly,network-scan
19.0,35.2,4,7,0,0,0,normal,baseline
14.73,24.13,3,4,0,0,0,normal,baseline
19.52,30.81,4,5,0,0,0,normal,baseline
17.97,33.0,5,7,0,0,0,normal,baseline
15.63,28.72,3,5,0,0,0,normal,baseline
19.39,30.44,1,5,0,0,0,normal,baseline
13.07,30.22,4,5,0,0,0,normal,baseline
17.77,26.71,2,7,0,0,0,normal,baseline
18.88,22.97,1,5,0,0,0,normal,baseline
18.41,30.93,2,6,0,0,0,normal,baseline
24.43,27.83,120,4,0,0,10,anomaly,network-scan
20.94,33.35,2,5,0,0,0,normal,baseline
25.65,29.32,2,6,0,0,0,normal,baseline
78.0,31.17,5,22,1,0,0,anomaly,interactive-shell
18.24,35.74,4,4,0,0,0,normal,baseline
17.34,35.34,4,4,0,0,0,normal,baseline
25.26,29.63,4,5,0,0,0,normal,baseline
20.95,31.64,5,6,0,0,0,normal,baseline
21.57,31.11,3,4,0,0,0,normal,baseline
13.49,21.94,2,16,0,1,0,anomaly,sensitive-file-read
78.0,28.99,2,22,1,0,0,anomaly,interactive-shell
19.85,26.63,4,6,0,0,0,normal,baseline
15.87,35.89,4,6,0,0,0,normal,baseline
96.0,92.0,2,32,0,0,0,anomaly,resource-abuse
21.9,24.38,2,7,0,0,0,normal,baseline
21.45,27.91,5,6,0,0,0,normal,baseline
20.18,31.0,120,5,0,0,10,anomaly,network-scan
78.0,28.24,3,22,1,0,0,anomaly,interactive-shell
16.9,30.94,4,6,0,0,0,normal,baseline
21.33,31.85,3,5,0,0,0,normal,baseline
21.85,23.08,1,5,0,0,0,normal,baseline
15.88,31.31,120,5,0,0,10,anomaly,network-scan
24.11,28.06,4,6,0,0,0,normal,baseline
20.74,29.28,3,6,0,0,0,normal,baseline
19.96,20.96,2,16,0,1,0,anomaly,sensitive-file-read
17.13,31.75,1,6,0,0,0,normal,baseline
23.6,31.16,3,6,0,0,0,normal,baseline
17.3,30.76,4,7,0,0,0,normal,baseline
19.09,28.07,1,5,0,0,0,normal,baseline
78.0,37.14,3,22,1,0,0,anomaly,interactive-shell
16.78,33.51,120,5,0,0,10,anomaly,network-scan
96.0,92.0,2,32,0,0,0,anomaly,resource-abuse
19.26,33.11,3,4,0,0,0,normal,baseline
96.0,92.0,5,32,0,0,0,anomaly,resource-abuse
20.73,30.71,5,4,0,0,0,normal,baseline
16.12,31.41,1,16,0,1,0,anomaly,sensitive-file-read
20.7,30.47,5,5,0,0,0,normal,baseline
20.2,28.35,5,16,0,1,0,anomaly,sensitive-file-read
18.38,34.59,4,5,0,0,0,normal,baseline
23.55,28.7,2,16,0,1,0,anomaly,sensitive-file-read
18.08,28.9,2,4,0,0,0,normal,baseline
17.01,29.66,1,7,0,0,0,normal,baseline
22.79,31.54,4,6,0,0,0,normal,baseline
78.0,30.46,4,22,1,0,0,anomaly,interactive-shell
21.14,25.06,5,4,0,0,0,normal,baseline
78.0,32.46,3,22,1,0,0,anomaly,interactive-shell
78.0,37.84,3,22,1,0,0,anomaly,interactive-shell
21.49,30.57,3,6,0,0,0,normal,baseline
18.33,24.88,5,6,0,0,0,normal,baseline
22.51,31.43,4,4,0,0,0,normal,baseline
25.99,30.53,2,16,0,1,0,anomaly,sensitive-file-read
23.18,34.1,5,5,0,0,0,normal,baseline
21.34,26.77,4,6,0,0,0,normal,baseline
21.1,42.72,3,6,0,0,0,normal,baseline
22.57,33.37,3,4,0,0,0,normal,baseline
17.3,32.1,120,5,0,0,10,anomaly,network-scan
19.7,28.31,4,6,0,0,0,normal,baseline
16.96,30.13,4,6,0,0,0,normal,baseline
23.4,27.42,2,4,0,0,0,normal,baseline
20.84,30.06,2,4,0,0,0,normal,baseline
20.21,30.64,1,5,0,0,0,normal,baseline
19.88,27.38,1,4,0,0,0,normal,baseline
24.35,28.24,3,4,0,0,0,normal,baseline
16.17,25.47,5,4,0,0,0,normal,baseline
20.2,31.16,4,6,0,0,0,normal,baseline
16.93,29.62,2,5,0,0,0,normal,baseline
21.93,28.42,3,6,0,0,0,normal,baseline
16.05,33.34,1,4,0,0,0,normal,baseline
19.95,26.39,5,5,0,0,0,normal,baseline
20.78,25.55,1,7,0,0,0,normal,baseline
23.99,34.98,120,6,0,0,10,anomaly,network-scan
19.02,35.71,3,6,0,0,0,normal,baseline
18.61,33.43,2,5,0,0,0,normal,baseline
15.31,32.74,3,7,0,0,0,normal,baseline
19.49,23.76,120,5,0,0,10,anomaly,network-scan
17.62,35.21,2,5,0,0,0,normal,baseline
17.42,31.48,5,4,0,0,0,normal,baseline
20.22,31.66,3,5,0,0,0,normal,baseline
19.33,24.12,3,5,0,0,0,normal,baseline
96.0,92.0,1,32,0,0,0,anomaly,resource-abuse
22.61,30.89,5,4,0,0,0,normal,baseline
78.0,30.95,1,22,1,0,0,anomaly,interactive-shell
20.54,27.38,1,7,0,0,0,normal,baseline
17.44,33.52,1,7,0,0,0,normal,baseline
19.6,25.02,1,5,0,0,0,normal,baseline
23.0,30.39,120,4,0,0,10,anomaly,network-scan
19.64,31.14,3,5,0,0,0,normal,baseline
25.46,32.92,3,7,0,0,0,normal,baseline
19.15,29.58,3,5,0,0,0,normal,baseline
17.46,25.67,3,5,0,0,0,normal,baseline
21.46,28.12,5,6,0,0,0,normal,baseline
14.41,30.12,4,5,0,0,0,normal,baseline
96.0,92.0,3,32,0,0,0,anomaly,resource-abuse
18.72,30.63,5,6,0,0,0,normal,baseline
17.96,34.89,3,7,0,0,0,normal,baseline
21.36,23.74,1,5,0,0,0,normal,baseline
78.0,32.3,5,22,1,0,0,anomaly,interactive-shell
22.97,25.29,3,6,0,0,0,normal,baseline
14.82,31.74,5,6,0,0,0,normal,baseline
13.78,25.53,5,4,0,0,0,normal,baseline
78.0,39.3,1,22,1,0,0,anomaly,interactive-shell
15.26,35.9,3,6,0,0,0,normal,baseline
17.99,31.25,1,6,0,0,0,normal,baseline
19.88,36.96,2,16,0,1,0,anomaly,sensitive-file-read
21.03,32.67,4,4,0,0,0,normal,baseline
20.72,22.9,2,5,0,0,0,normal,baseline
18.21,30.03,2,6,0,0,0,normal,baseline
17.34,28.57,1,6,0,0,0,normal,baseline
15.66,29.73,3,5,0,0,0,normal,baseline
19.21,27.26,1,4,0,0,0,normal,baseline
25.41,28.35,3,4,0,0,0,normal,baseline
24.46,28.91,1,5,0,0,0,normal,baseline
23.36,27.34,120,4,0,0,10,anomaly,network-scan
17.25,29.2,4,5,0,0,0,normal,baseline
78.0,29.9,5,22,1,0,0,anomaly,interactive-shell
20.59,34.36,5,7,0,0,0,normal,baseline
16.03,28.06,120,4,0,0,10,anomaly,network-scan
19.51,31.35,1,4,0,0,0,normal,baseline
19.5,33.27,5,5,0,0,0,normal,baseline
19.07,33.74,1,6,0,0,0,normal,baseline
19.74,28.77,2,6,0,0,0,normal,baseline
17.65,20.72,3,4,0,0,0,normal,baseline
20.82,27.75,1,5,0,0,0,normal,baseline
17.11,32.12,4,4,0,0,0,normal,baseline
18.04,32.19,3,5,0,0,0,normal,baseline
18.41,26.49,1,6,0,0,0,normal,baseline
19.43,34.68,4,4,0,0,0,normal,baseline
25.19,35.44,1,7,0,0,0,normal,baseline
25.16,24.47,3,4,0,0,0,normal,baseline
19.71,38.37,4,6,0,0,0,normal,baseline
23.34,31.53,3,6,0,0,0,normal,baseline
22.03,26.18,5,6,0,0,0,normal,baseline
19.44,27.15,120,4,0,0,10,anomaly,network-scan
20.93,28.39,1,6,0,0,0,normal,baseline
16.14,25.61,5,7,0,0,0,normal,baseline
19.01,29.75,1,6,0,0,0,normal,baseline
21.29,26.59,2,5,0,0,0,normal,baseline
24.3,30.37,1,7,0,0,0,normal,baseline
25.99,25.29,4,6,0,0,0,normal,baseline
20.83,30.63,5,4,0,0,0,normal,baseline
19.54,27.22,3,4,0,0,0,normal,baseline
78.0,35.0,4,22,1,0,0,anomaly,interactive-shell
22.37,35.99,3,6,0,0,0,normal,baseline
19.51,38.38,120,7,0,0,10,anomaly,network-scan
22.54,27.72,2,6,0,0,0,normal,baseline
21.27,22.25,1,7,0,0,0,normal,baseline
78.0,29.13,2,22,1,0,0,anomaly,interactive-shell
96.0,92.0,3,32,0,0,0,anomaly,resource-abuse
20.33,28.37,3,4,0,0,0,normal,baseline
78.0,25.51,2,22,1,0,0,anomaly,interactive-shell
24.38,31.13,2,7,0,0,0,normal,baseline
16.09,29.8,5,4,0,0,0,normal,baseline
16.75,29.4,4,4,0,0,0,normal,baseline
14.36,28.73,1,7,0,0,0,normal,baseline
17.71,30.59,4,5,0,0,0,normal,baseline
21.64,33.58,120,5,0,0,10,anomaly,network-scan
17.15,28.64,1,5,0,0,0,normal,baseline
24.01,34.99,5,7,0,0,0,normal,baseline
16.11,24.07,2,7,0,0,0,normal,baseline
21.42,28.46,1,4,0,0,0,normal,baseline
15.27,27.35,120,4,0,0,10,anomaly,network-scan
18.71,19.99,5,7,0,0,0,normal,baseline
20.08,32.28,120,4,0,0,10,anomaly,network-scan
20.52,36.32,5,7,0,0,0,normal,baseline
21.01,26.34,1,16,0,1,0,anomaly,sensitive-file-read
16.58,25.52,5,6,0,0,0,normal,baseline
19.8,25.31,1,7,0,0,0,normal,baseline
18.33,31.89,3,6,0,0,0,normal,baseline
18.86,31.51,1,16,0,1,0,anomaly,sensitive-file-read
25.39,33.58,2,4,0,0,0,normal,baseline
16.71,32.8,4,7,0,0,0,normal,baseline
21.09,35.28,3,5,0,0,0,normal,baseline
16.55,22.37,4,5,0,0,0,normal,baseline
18.22,24.22,1,7,0,0,0,normal,baseline
19.99,31.63,5,4,0,0,0,normal,baseline
19.12,25.71,1,4,0,0,0,normal,baseline
17.5,27.77,3,4,0,0,0,normal,baseline
16.88,31.9,2,7,0,0,0,normal,baseline
78.0,26.48,3,22,1,0,0,anomaly,interactive-shell
14.51,33.71,2,4,0,0,0,normal,baseline
20.93,32.36,5,4,0,0,0,normal,baseline
22.17,30.25,4,5,0,0,0,normal,baseline
16.82,29.5,1,6,0,0,0,normal,baseline
19.27,21.61,2,7,0,0,0,normal,baseline
22.78,31.82,2,7,0,0,0,normal,baseline
17.49,27.62,5,6,0,0,0,normal,baseline
19.26,25.88,4,5,0,0,0,normal,baseline
21.01,18.28,1,7,0,0,0,normal,baseline
18.59,31.05,4,6,0,0,0,normal,baseline
96.0,92.0,5,32,0,0,0,anomaly,resource-abuse
19.54,31.53,1,7,0,0,0,normal,baseline
17.64,23.25,5,7,0,0,0,normal,baseline
18.73,23.39,2,4,0,0,0,normal,baseline
13.16,24.01,5,6,0,0,0,normal,baseline
21.34,34.66,5,7,0,0,0,normal,baseline
22.33,26.76,4,16,0,1,0,anomaly,sensitive-file-read
20.68,35.28,3,6,0,0,0,normal,baseline
22.96,34.63,3,7,0,0,0,normal,baseline
78.0,35.3,5,22,1,0,0,anomaly,interactive-shell
78.0,30.44,2,22,1,0,0,anomaly,interactive-shell
22.53,30.05,4,7,0,0,0,normal,baseline
19.08,27.63,4,16,0,1,0,anomaly,sensitive-file-read
20.96,26.52,5,6,0,0,0,normal,baseline
17.12,33.0,120,7,0,0,10,anomaly,network-scan
20.52,28.65,3,4,0,0,0,normal,baseline
23.93,23.59,3,5,0,0,0,normal,baseline
13.61,31.03,2,16,0,1,0,anomaly,sensitive-file-read
19.69,29.89,4,7,0,0,0,normal,baseline
96.0,92.0,2,32,0,0,0,anomaly,resource-abuse
12.65,24.33,4,4,0,0,0,normal,baseline
21.84,29.44,120,5,0,0,10,anomaly,network-scan
15.37,32.61,1,5,0,0,0,normal,baseline
17.97,26.55,4,5,0,0,0,normal,baseline
15.97,28.37,1,5,0,0,0,normal,baseline
17.75,29.06,1,4,0,0,0,normal,baseline
17.42,27.85,5,7,0,0,0,normal,baseline
24.53,32.55,5,7,0,0,0,normal,baseline
20.39,31.03,3,5,0,0,0,normal,baseline
19.74,33.76,2,4,0,0,0,normal,baseline
78.0,27.49,5,22,1,0,0,anomaly,interactive-shell
22.01,28.5,4,6,0,0,0,normal,baseline
78.0,28.59,3,22,1,0,0,anomaly,interactive-shell
21.84,32.39,2,6,0,0,0,normal,baseline
18.5,28.26,3,4,0,0,0,normal,baseline
78.0,28.74,1,22,1,0,0,anomaly,interactive-shell
9.05,23.11,5,4,0,0,0,normal,baseline
19.83,29.32,2,7,0,0,0,normal,baseline
19.46,30.79,5,4,0,0,0,normal,baseline
21.09,20.36,2,7,0,0,0,normal,baseline
21.92,31.77,2,4,0,0,0,normal,baseline
23.76,27.91,2,7,0,0,0,normal,baseline
21.83,20.83,4,6,0,0,0,normal,baseline
23.21,30.93,5,7,0,0,0,normal,baseline
16.78,31.82,1,7,0,0,0,normal,baseline
23.64,28.7,5,7,0,0,0,normal,baseline
19.25,20.08,4,16,0,1,0,anomaly,sensitive-file-read
20.11,29.98,1,5,0,0,0,normal,baseline
26.98,29.18,1,4,0,0,0,normal,baseline
18.99,37.62,5,5,0,0,0,normal,baseline
78.0,32.65,1,22,1,0,0,anomaly,interactive-shell
19.11,30.27,1,5,0,0,0,normal,baseline
19.51,35.15,3,5,0,0,0,normal,baseline
24.44,37.18,4,6,0,0,0,normal,baseline
21.38,32.81,4,7,0,0,0,normal,baseline
19.28,30.41,3,7,0,0,0,normal,baseline
18.83,24.49,4,6,0,0,0,normal,baseline
20.54,26.35,1,16,0,1,0,anomaly,sensitive-file-read
24.38,25.57,2,5,0,0,0,normal,baseline
18.86,26.99,5,7,0,0,0,normal,baseline
21.02,36.91,2,5,0,0,0,normal,baseline
19.96,32.81,3,7,0,0,0,normal,baseline
22.12,32.65,5,7,0,0,0,normal,baseline
21.25,24.72,3,6,0,0,0,normal,baseline
17.11,31.39,3,6,0,0,0,normal,baseline
19.66,26.64,2,4,0,0,0,normal,baseline
22.21,26.27,4,5,0,0,0,normal,baseline
18.91,28.47,4,6,0,0,0,normal,baseline
24.09,33.58,2,6,0,0,0,normal,baseline
19.79,35.41,3,6,0,0,0,normal,baseline
96.0,92.0,5,32,0,0,0,anomaly,resource-abuse
22.1,30.41,5,5,0,0,0,normal,baseline
18.83,37.39,2,4,0,0,0,normal,baseline
20.79,31.92,4,4,0,0,0,normal,baseline
16.89,23.3,4,6,0,0,0,normal,baseline
23.15,26.1,3,4,0,0,0,normal,baseline
25.16,20.72,3,4,0,0,0,normal,baseline
22.96,27.77,1,7,0,0,0,normal,baseline
17.04,26.56,2,7,0,0,0,normal,baseline
24.21,28.23,2,4,0,0,0,normal,baseline
20.54,30.88,1,5,0,0,0,normal,baseline
18.42,25.87,120,7,0,0,10,anomaly,network-scan
96.0,92.0,3,32,0,0,0,anomaly,resource-abuse
18.09,32.16,3,7,0,0,0,normal,baseline
21.19,36.25,3,4,0,0,0,normal,baseline
21.23,30.47,3,6,0,0,0,normal,baseline
25.39,32.07,5,7,0,0,0,normal,baseline
21.78,36.15,4,16,0,1,0,anomaly,sensitive-file-read
20.2,34.51,3,5,0,0,0,normal,baseline
16.95,38.2,5,7,0,0,0,normal,baseline
96.0,92.0,2,32,0,0,0,anomaly,resource-abuse
19.29,30.71,2,5,0,0,0,normal,baseline
19.76,23.18,3,5,0,0,0,normal,baseline
78.0,32.26,4,22,1,0,0,anomaly,interactive-shell
18.4,28.35,4,6,0,0,0,normal,baseline
96.0,92.0,3,32,0,0,0,anomaly,resource-abuse
15.49,18.14,3,7,0,0,0,normal,baseline
19.12,29.59,5,6,0,0,0,normal,baseline
17.05,24.23,3,7,0,0,0,normal,baseline
27.65,28.38,4,6,0,0,0,normal,baseline
20.66,28.36,3,5,0,0,0,normal,baseline
28.74,31.66,1,6,0,0,0,normal,baseline
14.94,24.21,2,4,0,0,0,normal,baseline
20.75,30.18,3,6,0,0,0,normal,baseline
19.89,24.54,2,5,0,0,0,normal,baseline
20.71,36.44,1,7,0,0,0,normal,baseline
21.67,30.71,5,16,0,1,0,anomaly,sensitive-file-read
19.07,31.83,2,4,0,0,0,normal,baseline
17.22,35.94,5,16,0,1,0,anomaly,sensitive-file-read
27.15,31.68,2,7,0,0,0,normal,baseline
21.02,22.87,2,4,0,0,0,normal,baseline
23.4,28.55,2,6,0,0,0,normal,baseline
17.88,33.88,3,7,0,0,0,normal,baseline
20.02,40.39,5,6,0,0,0,normal,baseline
20.33,30.01,5,7,0,0,0,normal,baseline
23.7,18.89,120,5,0,0,10,anomaly,network-scan
19.65,33.32,5,6,0,0,0,normal,baseline
21.29,36.14,2,5,0,0,0,normal,baseline
20.69,32.12,2,4,0,0,0,normal,baseline
24.81,28.17,3,4,0,0,0,normal,baseline
96.0,92.0,2,32,0,0,0,anomaly,resource-abuse
18.72,28.59,2,5,0,0,0,normal,baseline
20.39,25.99,2,6,0,0,0,normal,baseline
18.68,18.18,1,16,0,1,0,anomaly,sensitive-file-read
25.17,29.28,4,4,0,0,0,normal,baseline
16.72,31.16,5,5,0,0,0,normal,baseline
16.49,32.17,4,7,0,0,0,normal,baseline
20.94,26.67,5,4,0,0,0,normal,baseline
24.81,29.04,4,4,0,0,0,normal,baseline
17.03,31.8,2,4,0,0,0,normal,baseline
96.0,92.0,2,32,0,0,0,anomaly,resource-abuse
78.0,27.88,3,22,1,0,0,anomaly,interactive-shell
19.07,28.86,3,7,0,0,0,normal,baseline
20.89,33.55,3,16,0,1,0,anomaly,sensitive-file-read
24.31,25.35,2,5,0,0,0,normal,baseline
17.61,31.71,2,16,0,1,0,anomaly,sensitive-file-read
19.63,32.97,3,16,0,1,0,anomaly,sensitive-file-read
19.67,31.41,1,6,0,0,0,normal,baseline
22.86,20.99,4,4,0,0,0,normal,baseline
21.34,23.26,5,4,0,0,0,normal,baseline
20.81,27.52,3,4,0,0,0,normal,baseline
19.86,31.12,1,5,0,0,0,normal,baseline
78.0,28.32,5,22,1,0,0,anomaly,interactive-shell
22.42,23.52,4,6,0,0,0,normal,baseline
96.0,92.0,1,32,0,0,0,anomaly,resource-abuse
15.3,35.04,1,16,0,1,0,anomaly,sensitive-file-read
20.12,28.75,1,7,0,0,0,normal,baseline
21.46,27.89,4,7,0,0,0,normal,baseline
16.25,32.04,2,6,0,0,0,normal,baseline
20.75,37.29,5,6,0,0,0,normal,baseline
18.98,34.26,1,5,0,0,0,normal,baseline
16.43,27.44,2,7,0,0,0,normal,baseline
16.66,32.32,4,5,0,0,0,normal,baseline
15.87,28.74,4,16,0,1,0,anomaly,sensitive-file-read
18.46,26.44,1,5,0,0,0,normal,baseline
21.19,32.22,1,4,0,0,0,normal,baseline
21.91,32.96,5,4,0,0,0,normal,baseline
25.2,34.71,3,6,0,0,0,normal,baseline
22.95,28.0,5,4,0,0,0,normal,baseline
23.09,30.74,4,7,0,0,0,normal,baseline
22.82,22.2,3,7,0,0,0,normal,baseline
78.0,23.07,2,22,1,0,0,anomaly,interactive-shell
20.97,25.4,1,16,0,1,0,anomaly,sensitive-file-read
18.75,27.55,2,4,0,0,0,normal,baseline
96.0,92.0,1,32,0,0,0,anomaly,resource-abuse
13.56,29.35,4,6,0,0,0,normal,baseline
18.27,35.1,2,6,0,0,0,normal,baseline
18.87,35.2,2,7,0,0,0,normal,baseline
18.88,31.49,120,6,0,0,10,anomaly,network-scan
24.05,30.05,4,4,0,0,0,normal,baseline
96.0,92.0,3,32,0,0,0,anomaly,resource-abuse
22.89,27.1,4,16,0,1,0,anomaly,sensitive-file-read
19.55,31.73,2,5,0,0,0,normal,baseline
20.0,27.11,3,4,0,0,0,normal,baseline
19.82,27.08,4,5,0,0,0,normal,baseline
96.0,92.0,3,32,0,0,0,anomaly,resource-abuse
19.84,37.07,5,7,0,0,0,normal,baseline
18.99,32.48,2,6,0,0,0,normal,baseline
16.72,31.59,4,6,0,0,0,normal,baseline
21.68,29.11,2,5,0,0,0,normal,baseline
21.95,32.97,1,7,0,0,0,normal,baseline
19.3,30.3,2,4,0,0,0,normal,baseline
19.29,28.93,1,4,0,0,0,normal,baseline
18.37,30.06,5,4,0,0,0,normal,baseline
21.14,35.15,4,6,0,0,0,normal,baseline
21.84,32.66,5,7,0,0,0,normal,baseline
17.77,33.7,4,4,0,0,0,normal,baseline
19.43,28.3,120,5,0,0,10,anomaly,network-scan
18.01,30.55,4,4,0,0,0,normal,baseline
19.56,36.35,4,7,0,0,0,normal,baseline
96.0,92.0,4,32,0,0,0,anomaly,resource-abuse
20.63,33.55,5,6,0,0,0,normal,baseline
19.96,29.16,2,5,0,0,0,normal,baseline
17.1,27.1,3,5,0,0,0,normal,baseline
19.31,23.63,2,4,0,0,0,normal,baseline
23.2,30.63,3,4,0,0,0,normal,baseline
78.0,31.56,4,22,1,0,0,anomaly,interactive-shell
20.3,29.66,4,4,0,0,0,normal,baseline
19.39,31.5,3,16,0,1,0,anomaly,sensitive-file-read
16.9,25.02,3,5,0,0,0,normal,baseline
22.94,25.34,5,16,0,1,0,anomaly,sensitive-file-read
96.0,92.0,4,32,0,0,0,anomaly,resource-abuse
21.67,31.19,4,7,0,0,0,normal,baseline
96.0,92.0,4,32,0,0,0,anomaly,resource-abuse
18.99,22.04,4,7,0,0,0,normal,baseline
18.64,25.1,5,7,0,0,0,normal,baseline
18.53,27.68,120,6,0,0,10,anomaly,network-scan
13.6,31.07,5,5,0,0,0,normal,baseline
16.94,30.21,5,5,0,0,0,normal,baseline
18.73,31.26,5,5,0,0,0,normal,baseline
23.01,34.75,2,6,0,0,0,normal,baseline
19.0,30.65,3,6,0,0,0,normal,baseline
20.36,27.71,2,6,0,0,0,normal,baseline
96.0,92.0,4,32,0,0,0,anomaly,resource-abuse
19.15,30.74,4,5,0,0,0,normal,baseline
20.76,27.98,5,4,0,0,0,normal,baseline
96.0,92.0,2,32,0,0,0,anomaly,resource-abuse
21.0,30.2,2,4,0,0,0,normal,baseline
20.11,29.64,3,7,0,0,0,normal,baseline
20.25,27.23,3,4,0,0,0,normal,baseline
23.87,31.64,1,16,0,1,0,anomaly,sensitive-file-read
96.0,92.0,1,32,0,0,0,anomaly,resource-abuse
18.5,23.38,4,4,0,0,0,normal,baseline
23.41,26.32,1,5,0,0,0,normal,baseline
20.21,25.7,4,4,0,0,0,normal,baseline
21.28,29.24,5,6,0,0,0,normal,baseline
15.2,26.82,1,5,0,0,0,normal,baseline
15.57,34.27,2,6,0,0,0,normal,baseline
19.54,35.82,4,7,0,0,0,normal,baseline
20.46,35.89,5,5,0,0,0,normal,baseline
22.92,34.97,2,5,0,0,0,normal,baseline
18.87,29.46,3,4,0,0,0,normal,baseline
21.4,28.5,120,7,0,0,10,anomaly,network-scan
21.85,26.0,3,6,0,0,0,normal,baseline
16.88,20.35,3,5,0,0,0,normal,baseline
24.42,34.9,120,5,0,0,10,anomaly,network-scan
20.81,26.55,3,5,0,0,0,normal,baseline
17.4,33.87,5,6,0,0,0,normal,baseline
16.02,30.12,3,4,0,0,0,normal,baseline
25.23,31.76,2,7,0,0,0,normal,baseline
14.64,29.51,1,6,0,0,0,normal,baseline
96.0,92.0,5,32,0,0,0,anomaly,resource-abuse
25.18,23.86,3,5,0,0,0,normal,baseline
